Parameter,Sebelum (Min),Sebelum (Mean +- Std),Sebelum (Max),Sesudah (Min),Sesudah (Mean +- Std),Sesudah (Max),Status Verifikasi
Sample Rate (Hz),32000.0000,32000.0000 +- 0.0000,32000.0000,32000.0000,32000.0000 +- 0.0000,32000.0000,TERSTANDARISASI (KONSTAN)
Durasi (detik),2.6900,48.0159 +- 66.5688,552.5760,5.0000,5.0000 +- 0.0000,5.0000,TERSTANDARISASI (KONSTAN)
RMS Energy (skalar),0.0017,0.0438 +- 0.0378,0.1652,0.0456,0.0500 +- 0.0004,0.0500,TERSTANDARISASI (KONSTAN)
Peak Amplitude (skalar),0.0216,0.5266 +- 0.3390,1.2431,0.1227,0.4437 +- 0.1915,1.0000,TERKONTROL AMAN
