representation,name,Top1_Accuracy,mAP@10,MRR,Recall@10,Precision@10
R0,R0: MFCC Baseline (40-d),27.500000000000004,0.13194880952380952,0.42244051265615723,0.012260724035892148,0.2175
R1,R1: PANNs CNN14 (2048-d),60.0,0.41523432539682537,0.7005128099577479,0.029086558359137215,0.5025
R2,R2: BirdNET Backbone (1024-d),95.0,0.9126194444444444,0.9657797619047619,0.05279218188736916,0.9280000000000002
R3,R3: Random Control (40-d),6.5,0.01900952380952381,0.17789747862256608,0.0028276041874866925,0.053000000000000005
