frozen_tau,AUROC,AUPRC,F1_at_tau,Precision_at_tau,Recall_at_tau,False_Positive_Rate,total_known_tested,total_unknown_tested,representation,condition,snr_db,delta_Recall,delta_FPR,clean_recall,clean_fpr
0.9904574751853943,0.6257501363884342,0.80009896490921,0.6193548387096774,0.7868852459016393,0.5106382978723404,0.3333333333333333,94,39,R0,Clean,999,0.0,0.0,0.5106382978723404,0.3333333333333333
0.9904574751853943,0.6576650300054556,0.7659696521001003,0.7593582887700534,0.7634408602150538,0.7553191489361702,0.5641025641025641,94,39,R0,SNR_20dB,20,0.24468085106382986,0.23076923076923078,0.5106382978723404,0.3333333333333333
0.9904574751853943,0.7067648663393344,0.8246978468145355,0.8159203980099503,0.7663551401869159,0.8723404255319149,0.6410256410256411,94,39,R0,SNR_10dB,10,0.36170212765957455,0.30769230769230776,0.5106382978723404,0.3333333333333333
0.9904574751853943,0.6129296235679215,0.7695353343680355,0.8099999999999999,0.7641509433962265,0.8617021276595744,0.6410256410256411,94,39,R0,SNR_0dB,0,0.35106382978723405,0.30769230769230776,0.5106382978723404,0.3333333333333333
0.9904574751853943,0.6762138570649209,0.8131521503333335,0.3275862068965517,0.8636363636363636,0.20212765957446807,0.07692307692307693,94,39,R0,SNR_-5dB,-5,-0.3085106382978723,-0.2564102564102564,0.5106382978723404,0.3333333333333333
0.8567163944244385,0.8259683578832515,0.9282386117206621,0.8472906403940887,0.7889908256880734,0.9148936170212766,0.5897435897435898,94,39,R1,Clean,999,0.0,0.0,0.9148936170212766,0.5897435897435898
0.8567163944244385,0.8745226404800873,0.9487364061417333,0.8768472906403939,0.8165137614678899,0.9468085106382979,0.5128205128205128,94,39,R1,SNR_20dB,20,0.03191489361702127,-0.07692307692307698,0.9148936170212766,0.5897435897435898
0.8567163944244385,0.8687943262411347,0.9411305553492126,0.8516746411483255,0.7739130434782608,0.9468085106382979,0.6666666666666666,94,39,R1,SNR_10dB,10,0.03191489361702127,0.07692307692307687,0.9148936170212766,0.5897435897435898
0.8567163944244385,0.82924168030551,0.9208896045990405,0.8294930875576038,0.7317073170731707,0.9574468085106383,0.8461538461538461,94,39,R1,SNR_0dB,0,0.042553191489361764,0.2564102564102564,0.9148936170212766,0.5897435897435898
0.8567163944244385,0.7193126022913258,0.8303735804261714,0.8317757009345795,0.7416666666666667,0.9468085106382979,0.7948717948717948,94,39,R1,SNR_-5dB,-5,0.03191489361702127,0.20512820512820507,0.9148936170212766,0.5897435897435898
0.6487703323364258,0.8802509547190398,0.9424135492850639,0.8143712574850299,0.9315068493150684,0.723404255319149,0.1282051282051282,94,39,R2,Clean,999,0.0,0.0,0.723404255319149,0.1282051282051282
0.6487703323364258,0.8573376977632297,0.9329179458827662,0.7730061349693251,0.9130434782608695,0.6702127659574468,0.15384615384615385,94,39,R2,SNR_20dB,20,-0.05319148936170215,0.02564102564102566,0.723404255319149,0.1282051282051282
0.6487703323364258,0.8104200763775232,0.9107122476902691,0.732919254658385,0.8805970149253731,0.6276595744680851,0.20512820512820512,94,39,R2,SNR_10dB,10,-0.09574468085106391,0.07692307692307693,0.723404255319149,0.1282051282051282
0.6487703323364258,0.7288597926895799,0.867732784619966,0.5972222222222222,0.86,0.4574468085106383,0.1794871794871795,94,39,R2,SNR_0dB,0,-0.2659574468085107,0.051282051282051294,0.723404255319149,0.1282051282051282
0.6487703323364258,0.6481178396072014,0.8174910947916866,0.4962406015037594,0.8461538461538461,0.35106382978723405,0.15384615384615385,94,39,R2,SNR_-5dB,-5,-0.37234042553191493,0.02564102564102566,0.723404255319149,0.1282051282051282
0.42581620812416077,0.5335515548281505,0.764951480678858,0.6012269938650306,0.7101449275362319,0.5212765957446809,0.5128205128205128,94,39,R3,Clean,999,0.0,0.0,0.5212765957446809,0.5128205128205128
0.42581620812416077,0.4560829241680306,0.6778643071566564,0.535031847133758,0.6666666666666666,0.44680851063829785,0.5384615384615384,94,39,R3,SNR_20dB,20,-0.07446808510638303,0.02564102564102566,0.5212765957446809,0.5128205128205128
0.42581620812416077,0.48527004909983634,0.7063303625938755,0.5714285714285714,0.7333333333333333,0.46808510638297873,0.41025641025641024,94,39,R3,SNR_10dB,10,-0.05319148936170215,-0.10256410256410253,0.5212765957446809,0.5128205128205128
0.42581620812416077,0.49454446262956897,0.6954782899843809,0.6060606060606061,0.704225352112676,0.5319148936170213,0.5384615384615384,94,39,R3,SNR_0dB,0,0.010638297872340385,0.02564102564102566,0.5212765957446809,0.5128205128205128
0.42581620812416077,0.43944353518821605,0.6484833769926541,0.513157894736842,0.6724137931034483,0.4148936170212766,0.48717948717948717,94,39,R3,SNR_-5dB,-5,-0.1063829787234043,-0.025641025641025605,0.5212765957446809,0.5128205128205128
