query_id,species_key,recordist,top1_match,max_similarity_score,AP@10,Recall@10,Precision@10
806242,Aethopyga_siparaja,Ding Li Yong,0,0.9931385517120361,0.01111111111111111,0.05555555555555555,0.1
203106,Aethopyga_siparaja,Surya Fajriani,0,0.9918504953384399,0.2373015873015873,0.2777777777777778,0.5
930796,Aethopyga_siparaja,Ding Li Yong,0,0.9920986890792847,0.07333333333333333,0.1111111111111111,0.2
19050,Aethopyga_siparaja,Sander Pieterse &amp; Ben Wielstra,0,0.9919731020927429,0.06666666666666667,0.1111111111111111,0.2
894701,Aethopyga_siparaja,Ding Li Yong,0,0.9926521182060242,0.041666666666666664,0.1111111111111111,0.2
106117,Batrachostomus_cornutus,Bram Demeulemeester,0,0.9909941554069519,0.0,0.0,0.0
106118,Batrachostomus_cornutus,Bram Demeulemeester,0,0.9916682243347168,0.0,0.0,0.0
106120,Batrachostomus_cornutus,Bram Demeulemeester,0,0.991036057472229,0.0,0.0,0.0
618795,Brachypteryx_montana,Teus Luijendijk,1,0.9944378733634949,0.22666666666666666,0.11538461538461539,0.3
90803,Brachypteryx_montana,Fabian Ducry &amp; David Marques,0,0.9945611953735352,0.17285714285714288,0.15384615384615385,0.4
431514,Brachypteryx_montana,Brian Cox,0,0.9929019212722778,0.05333333333333333,0.07692307692307693,0.2
70339,Brachypteryx_montana,David Gibbs,1,0.9880733489990234,0.16666666666666666,0.07692307692307693,0.2
618731,Brachypteryx_montana,Teus Luijendijk,1,0.9946742057800293,0.2988095238095238,0.15384615384615385,0.4
943916,Carpococcyx_viridis,Kim Chuah Lim,0,0.990786612033844,0.0,0.0,0.0
56936,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,0,0.9924924373626709,0.0,0.0,0.0
39501,Carpococcyx_viridis,Brian Cox,0,0.9937407970428467,0.0,0.0,0.0
56937,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,0,0.9922223687171936,0.0,0.0,0.0
196215,Carpococcyx_viridis,yann muzika,0,0.9886525869369507,0.015873015873015872,0.14285714285714285,0.1
56938,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,0,0.9901697039604187,0.015873015873015872,0.14285714285714285,0.1
943912,Carpococcyx_viridis,Kim Chuah Lim,0,0.9876304864883423,0.047619047619047616,0.14285714285714285,0.1
85992,Carpococcyx_viridis,John Gregory,0,0.9917899370193481,0.0,0.0,0.0
894950,Dicaeum_trigonostigma,Ding Li Yong,1,0.9904733300209045,0.16666666666666666,0.10526315789473684,0.2
34523,Dicaeum_trigonostigma,Tjalle Boorsma,1,0.9950520992279053,0.22666666666666666,0.15789473684210525,0.3
648922,Dicaeum_trigonostigma,Ding Li Yong,1,0.9914795160293579,0.18,0.15789473684210525,0.3
431494,Dicrurus_hottentottus,Brian Cox,0,0.992935061454773,0.0,0.0,0.0
176899,Dicrurus_hottentottus,Peter Wilton,0,0.99278324842453,0.0,0.0,0.0
931276,Dicrurus_hottentottus,Ding Li Yong,0,0.9949926137924194,0.0,0.0,0.0
924367,Dicrurus_hottentottus,Ding Li Yong,0,0.9933788180351257,0.0,0.0,0.0
823280,Dicrurus_hottentottus,Greg Irving,0,0.9945281147956848,0.0,0.0,0.0
825282,Dicrurus_hottentottus,Greg Irving,0,0.9923675656318665,0.0,0.0,0.0
825283,Dicrurus_hottentottus,Greg Irving,0,0.9927425980567932,0.0,0.0,0.0
176898,Dicrurus_hottentottus,Peter Wilton,0,0.9942619800567627,0.0,0.0,0.0
648652,Gypsophila_rufipectus,Ding Li Yong,0,0.990008533000946,0.05,0.05555555555555555,0.1
497648,Gypsophila_rufipectus,Ding Li Yong,0,0.9931380748748779,0.0,0.0,0.0
23118,Gypsophila_rufipectus,George Wagner,0,0.9916020035743713,0.01,0.05555555555555555,0.1
648651,Gypsophila_rufipectus,Ding Li Yong,1,0.989596962928772,0.1,0.05555555555555555,0.1
70301,Gypsophila_rufipectus,David Gibbs,0,0.9928920269012451,0.01111111111111111,0.05555555555555555,0.1
963352,Gypsophila_rufipectus,Daan Drukker,0,0.9932298064231873,0.014285714285714285,0.05555555555555555,0.1
497649,Gypsophila_rufipectus,Ding Li Yong,0,0.9920417666435242,0.0,0.0,0.0
963345,Gypsophila_rufipectus,Daan Drukker,0,0.9936918616294861,0.01,0.05555555555555555,0.1
479600,Halcyon_smyrnensis,Prayitno Goenarto,0,0.990715503692627,0.0,0.0,0.0
431504,Halcyon_smyrnensis,Brian Cox,0,0.9892915487289429,0.0,0.0,0.0
537745,Halcyon_smyrnensis,Advento,0,0.9927661418914795,0.0,0.0,0.0
431502,Halcyon_smyrnensis,Brian Cox,0,0.9903354048728943,0.0,0.0,0.0
481181,Halcyon_smyrnensis,Prayitno Goenarto,0,0.9904663562774658,0.0,0.0,0.0
431520,Horornis_vulcanius,Brian Cox,0,0.993808925151825,0.08,0.12,0.3
453085,Horornis_vulcanius,Brendan Sloan,1,0.9945439100265503,0.2344444444444444,0.16,0.4
431521,Horornis_vulcanius,Brian Cox,0,0.9930843710899353,0.16,0.12,0.3
618791,Horornis_vulcanius,Teus Luijendijk,1,0.9939160943031311,0.18285714285714286,0.12,0.3
618724,Horornis_vulcanius,Teus Luijendijk,1,0.9938784837722778,0.17083333333333334,0.12,0.3
453239,Horornis_vulcanius,Brendan Sloan,1,0.9935870170593262,0.2873015873015873,0.16,0.4
34481,Malacopteron_affine,Tjalle Boorsma,0,0.9924259781837463,0.0,0.0,0.0
530111,Malacopteron_affine,Matt Slaymaker,0,0.9930315017700195,0.0,0.0,0.0
594323,Malacopteron_affine,Prayitno Goenarto,0,0.9941745400428772,0.0,0.0,0.0
34479,Malacopteron_affine,Tjalle Boorsma,0,0.9938182830810547,0.0,0.0,0.0
34480,Malacopteron_affine,Tjalle Boorsma,0,0.9945582151412964,0.0,0.0,0.0
24406,Malacopteron_affine,Sander Pieterse &amp; Ben Wielstra,0,0.994103729724884,0.0,0.0,0.0
578766,Malacopteron_affine,Muhammad Iqbal,0,0.9926789402961731,0.0,0.0,0.0
90890,Myophonus_melanurus,Fabian Ducry &amp; David Marques,0,0.9933034181594849,0.0,0.0,0.0
431617,Myophonus_melanurus,Brian Cox,0,0.9936506152153015,0.0,0.0,0.0
431615,Myophonus_melanurus,Brian Cox,0,0.9929524660110474,0.0,0.0,0.0
431536,Napothera_albostriata,Brian Cox,0,0.9929068684577942,0.013888888888888888,0.125,0.1
431530,Napothera_albostriata,Brian Cox,0,0.9928436875343323,0.025,0.125,0.1
648646,Napothera_albostriata,Ding Li Yong,0,0.9925092458724976,0.020833333333333332,0.125,0.1
195583,Napothera_albostriata,Marc Thibault,0,0.9921229481697083,0.041666666666666664,0.125,0.1
431533,Napothera_albostriata,Brian Cox,0,0.9942260980606079,0.0,0.0,0.0
195587,Napothera_albostriata,Marc Thibault,0,0.9930306673049927,0.020833333333333332,0.125,0.1
195585,Napothera_albostriata,Marc Thibault,0,0.9921419024467468,0.017857142857142856,0.125,0.1
431487,Orthotomus_ruficeps,Brian Cox,0,0.9895803332328796,0.0125,0.07142857142857142,0.1
571751,Orthotomus_ruficeps,Muhammad Iqbal,0,0.9919607043266296,0.0,0.0,0.0
535411,Orthotomus_ruficeps,Andres Angulo Rubiano,0,0.9908565878868103,0.0,0.0,0.0
1098429,Orthotomus_ruficeps,yasinchumaedi,0,0.9907254576683044,0.0,0.0,0.0
431498,Orthotomus_ruficeps,Brian Cox,0,0.9931386709213257,0.0,0.0,0.0
895144,Orthotomus_ruficeps,Ding Li Yong,0,0.9923532605171204,0.0,0.0,0.0
604617,Orthotomus_ruficeps,Prayitno Goenarto,0,0.9930688738822937,0.0125,0.07142857142857142,0.1
895137,Orthotomus_ruficeps,Ding Li Yong,0,0.9920100569725037,0.0,0.0,0.0
34503,Orthotomus_ruficeps,Tjalle Boorsma,1,0.9900220036506653,0.1,0.07142857142857142,0.1
20097,Orthotomus_ruficeps,Sander Pieterse &amp; Ben Wielstra,0,0.9930480122566223,0.0,0.0,0.0
389508,Pnoepyga_pusilla,Oscar Campbell,0,0.9935119152069092,0.0125,0.04,0.1
42265,Pnoepyga_pusilla,George Wagner,0,0.9938042163848877,0.0125,0.04,0.1
