query_id,species_key,recordist,top1_match,max_similarity_score,AP@10,Recall@10,Precision@10
806242,Aethopyga_siparaja,Ding Li Yong,1,0.6630375981330872,0.4,0.2777777777777778,0.5
203106,Aethopyga_siparaja,Surya Fajriani,1,0.7177132368087769,0.6915476190476191,0.4444444444444444,0.8
930796,Aethopyga_siparaja,Ding Li Yong,1,0.6691278219223022,0.5297619047619048,0.3888888888888889,0.7
19050,Aethopyga_siparaja,Sander Pieterse &amp; Ben Wielstra,1,0.7021726369857788,0.6818253968253968,0.4444444444444444,0.8
894701,Aethopyga_siparaja,Ding Li Yong,1,0.6941298246383667,0.4705555555555555,0.3333333333333333,0.6
106117,Batrachostomus_cornutus,Bram Demeulemeester,1,0.6687322854995728,1.0,0.9090909090909091,1.0
106118,Batrachostomus_cornutus,Bram Demeulemeester,0,0.5821248292922974,0.025,0.09090909090909091,0.1
106120,Batrachostomus_cornutus,Bram Demeulemeester,0,0.5860426425933838,0.09940476190476191,0.2727272727272727,0.3
618795,Brachypteryx_montana,Teus Luijendijk,1,0.6404290795326233,0.9,0.34615384615384615,0.9
90803,Brachypteryx_montana,Fabian Ducry &amp; David Marques,1,0.7949283123016357,1.0,0.38461538461538464,1.0
431514,Brachypteryx_montana,Brian Cox,0,0.6482267379760742,0.0,0.0,0.0
70339,Brachypteryx_montana,David Gibbs,1,0.608556866645813,0.89,0.34615384615384615,0.9
618731,Brachypteryx_montana,Teus Luijendijk,1,0.8415523767471313,1.0,0.38461538461538464,1.0
943916,Carpococcyx_viridis,Kim Chuah Lim,1,0.6778671741485596,0.7142857142857143,0.7142857142857143,0.5
56936,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,1,0.7679756879806519,0.5714285714285714,0.5714285714285714,0.4
39501,Carpococcyx_viridis,Brian Cox,1,0.7437644004821777,0.5714285714285714,0.5714285714285714,0.4
56937,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,1,0.7488380670547485,0.5714285714285714,0.5714285714285714,0.4
196215,Carpococcyx_viridis,yann muzika,1,0.7316110134124756,0.7142857142857143,0.7142857142857143,0.5
56938,Carpococcyx_viridis,Fabian Ducry &amp; David Marques,0,0.6192828416824341,0.03571428571428571,0.14285714285714285,0.1
943912,Carpococcyx_viridis,Kim Chuah Lim,1,0.7002861499786377,0.7142857142857143,0.7142857142857143,0.5
